name,category,sunCost,rechargeSeconds,hp,damage,attackPeriodSeconds,tags
sunflower,SUN_PRODUCER,50,5,300,0,24,day;sun;sun:50
twin-sunflower,SUN_PRODUCER,125,15,300,0,24,day;sun;sun:100
sun-shroom,SUN_PRODUCER,25,5,300,0,24,night;shroom;sun;wramp-up;sun:25
primal-sunflower,SUN_PRODUCER,75,5,300,0,24,day;sun;sun:75
gold-bloom,SUN_PRODUCER,0,75,0,0,0,day;sun;instant;sun:375
peashooter,SHOOTER,100,5,300,20,1.5,day;pea
repeater,SHOOTER,200,5,300,40,1.5,day;pea
threepeater,SHOOTER,300,5,300,20,1.5,day;pea;three-lane
snow-pea,SHOOTER,150,5,300,20,1.5,day;pea;ice
rotobaga,SHOOTER,150,5,300,10,1.5,day;diagonal
pea-pod,SHOOTER,125,5,300,20,1.5,day;pea;stack
split-pea,SHOOTER,125,5,300,20,1.5,day;pea;split
citron,SHOOTER,350,5,300,800,9,day;charge
caulipower,HOMING,250,15,300,0,12,day;magic;charge;hypno
electric-blueberry,HOMING,150,15,300,5000,12,day;charge;magic
bowling-bulb,SHOOTER,200,5,300,40,2,day;charge;bounce
cactus,STRIKE_THROUGH,175,5,300,30,1.5,day;strike-through
fire-peashooter,SHOOTER,175,5,300,40,1.5,day;fire;pea
starfruit,SHOOTER,150,5,300,20,1.5,day;star
goo-peashooter,SHOOTER,125,5,300,20,1.5,day;poison
mega-gatling-pea,SHOOTER,400,5,300,80,1.5,day;pea
sea-shroom,SHOOTER,0,15,300,20,1.5,night;shroom;water;lifespan
puff-shroom,SHOOTER,0,5,300,20,1.5,night;shroom;lifespan
fume-shroom,STRIKE_THROUGH,125,5,300,20,1.5,night;shroom;strike-through
cabbage-pult,LOBBER,100,5,300,40,2.9,day
kernel-pult,LOBBER,100,5,300,20,2.9,day;butter
melon-pult,LOBBER,325,5,300,80,2.9,day;aoe
winter-melon,LOBBER,500,5,300,80,2.9,day;ice;aoe
pepper-pult,LOBBER,200,5,300,50,2.9,day;fire;aoe
potato-mine,TRAP,25,25,300,1800,0,day;trap;charge;explosive
primal-potato-mine,TRAP,50,5,300,2400,0,day;trap;charge;explosive;aoe
cherry-bomb,EXPLOSIVE,150,35,0,1800,0,day;explosive;aoe;instant
squash,TRAP,50,20,300,1800,0,day;trap;explosive
grapeshot,EXPLOSIVE,150,35,0,1800,0,day;explosive;aoe;bounce;instant
jalapeno,EXPLOSIVE,125,35,0,1800,0,day;fire;explosive;lane;instant
doom-shroom,EXPLOSIVE,125,15,0,1800,0,night;shroom;explosive;whole-map;crater;instant
tangle-kelp,TRAP,25,15,300,9999,0,day;trap;water;insta-kill
iceberg-lettuce,TRAP,0,20,300,0,0,day;trap;ice
bonk-choy,MELEE,150,5,300,15,0.25,day;melee-back
phat-beet,MELEE,150,5,300,15,2,day;aoe
chomper,MELEE,150,5,300,9999,40,day;insta-kill;digest
wasabi-whip,MELEE,150,5,300,40,2,day;fire;melee-back
kiwibeast,MELEE,175,5,300,15,2,day;aoe;wramp-up
wall-nut,WALL,50,20,4000,0,0,day
tall-nut,WALL,125,20,8000,0,0,day;tall
endurian,WALL,100,15,3000,20,0,day;reflect
garlic,WALL,50,20,300,0,0,day;moveZombies;push
sweet-potato,WALL,150,20,3000,0,0,day;moveZombies;pull
explode-o-nut,WALL,50,20,4000,1800,0,day;explosive;bowling
pumpkin,WALL,150,20,4000,0,0,day;stack;shield
sun-bean,WALL,50,20,1000,0,0,day;sun;sun-on-hit
torchwood,MODIFIER,175,5,300,0,0,day;fire
magnet-shroom,HOMING,100,15,300,0,10,night;shroom;magic;magnet
hypno-shroom,MODIFIER,125,20,300,0,0,night;shroom;magic;hypno
cattail,HOMING,175,20,300,15,1.5,day;water;homing
imitater,MODIFIER,0,0,0,0,0,day;imitate
ice-shroom,EXPLOSIVE,75,50,0,0,0,night;shroom;ice;whole-map;instant
lily-pad,MODIFIER,25,5,300,0,0,day;water;stack
hot-potato,EXPLOSIVE,0,5,0,0,0,day;fire;melt;instant
grave-buster,EXPLOSIVE,0,10,0,9999,0,day;grave-buster;instant
enlighten-mint,MINT,0,85,0,0,0,day;mint;family:sun-producer
appease-mint,MINT,0,85,0,0,0,day;mint;family:shooter
arma-mint,MINT,0,85,0,0,0,day;mint;family:lobber
bombard-mint,MINT,0,85,0,0,0,day;mint;family:explosive
enforce-mint,MINT,0,85,0,0,0,day;mint;family:melee
reinforce-mint,MINT,0,85,0,0,0,day;mint;family:wall
enchant-mint,MINT,0,85,0,0,0,day;mint;family:modifier
pierce-mint,MINT,0,85,0,0,0,day;mint;family:strike-through
cattail-mint,MINT,0,85,0,0,0,day;mint;family:homing
laser-bean,STRIKE_THROUGH,200,5,300,8,1.5,day;strike-through
peppermint,MINT,120,60,300,350,0,day;mint;fire
bowling-wallnut,WALL,0,2,300,200,0,day;bowling
giant-wallnut,WALL,0,2,300,0,0,day;bowling
